date,date,txtotpositive,txdailynew,txneg,txtottests,txantitests,txantipos,txantiposrate,txdailytests,txinhosp,txrecov,txactive,tx7dayavg,tx7dayavgnew,tx7daytests,tx21daytotnew,txposrate,tx7dayposrate,tx7daygrowthrate,travistotpositive,travisdailynew,travisinhosp,travisrecov,travisactive,travis7dayavgnew,trravis14daytotal,travis21daytotnew,travis7daygrowthrate,travis co pct
1,2020-03-04,1,,,,,,,,0,,,,,,,,,,0,0,0,,,,,,,
2,2020-03-05,1,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,
3,2020-03-06,5,4,,,,,,,,,,,,,,,,,0,0,,,,,,,,
4,2020-03-07,8,3,,,,,,,,,,,,,,,,,0,0,,,,,,,,
5,2020-03-08,8,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,
6,2020-03-09,12,4,,,,,,,,,,,,,,,,,0,0,,,,,,,,
7,2020-03-10,13,1,,,,,,,,,,,2,,,,,,0,0,,,,,,,,
8,2020-03-11,21,8,,,,,,,,,,,3,,,,,0.54486,0,0,,,,0,,,,
9,2020-03-12,23,2,,,,,,,,,,,3,,,,,0.56507,0,0,,,,0,,,,
10,2020-03-13,39,16,,,,,,,,,,,5,,,,,0.34104,2,2,,,,0,,,0.05128,
11,2020-03-14,51,12,,,,,,,,,,,6,,,,,0.30294,3,1,,,,0,,,0.05882,
12,2020-03-15,56,5,,,,,,,,,,,7,,,,,0.32047,5,2,,,,1,,,0.08929,
13,2020-03-16,57,1,,,,,,,,,,,6,,,,,0.24931,6,1,,,,1,,,0.10526,
14,2020-03-17,64,7,1204,1268,,,,1268,,,,,7,,,0.05047,,0.25571,17,11,,,,2,,,0.26563,
15,2020-03-18,83,19,1824,1907,,,,639,,,,,9,,,0.04352,,0.21693,23,6,,,,3,,,0.27711,
16,2020-03-19,143,60,2212,2355,,,,448,,,,,17,,,0.06072,,0.29829,41,18,,,,6,,,0.28671,
17,2020-03-20,194,51,5083,5277,,,,2922,,,,,22,,,0.03676,,0.25757,58,17,,,,8,,,0.29897,0.61776
18,2020-03-21,304,110,6218,6522,,,,1245,,,,,36,,,0.04661,,0.2905,73,15,,,,10,,,0.24013,0.57772
19,2020-03-22,334,30,8422,8756,,,,2234,,,,,40,,,0.03815,,0.29061,91,18,,,,12,,,0.27246,0.5136
20,2020-03-23,352,18,9703,10055,,,,1299,,,,,42,1436,,0.03501,0.02934,0.29704,100,9,,,,13,,,0.28409,0.49469
21,2020-03-24,410,58,10757,11167,,,,1112,,,,,49,1414,409,0.03672,0.03495,0.30385,113,13,,,,14,,113,0.27561,0.31075
22,2020-03-25,974,564,12261,13235,,,,2068,,,,,127,1618,973,0.07359,0.07865,0.42162,119,6,,,,14,,119,0.12218,0.26466
23,2020-03-26,1396,422,20028,21424,,,,8189,,,,,179,2724,1395,0.06516,0.06571,0.38473,137,18,,,,14,,137,0.09814,0.18809
24,2020-03-27,1659,263,22007,23666,,,,2242,,,,,209,2627,1654,0.0701,0.07967,0.35878,160,23,,,,15,,160,0.09644,0.156
25,2020-03-28,2052,393,23208,25260,,,,1594,,,,,250,2677,2044,0.08124,0.09329,0.31363,179,19,,,,15,,179,0.08723,0.1367
26,2020-03-29,2552,500,22931,25483,,,,223,,,,,317,2390,2544,0.10015,0.1326,0.33709,200,21,,,,16,,200,0.07837,0.11907
27,2020-03-30,2877,325,33003,35880,,,,10397,,,,,361,3689,2865,0.08018,0.09777,0.35003,206,6,,,,15,,206,0.0716,0.10876
28,2020-03-31,3266,389,39726,42992,,,,7112,,,,,408,4546,3253,0.07597,0.08974,0.34508,244,38,,,,19,,244,0.07471,0.11624
29,2020-04-01,3997,731,43860,47857,,,,4865,,,,,432,4946,3976,0.08352,0.08731,0.22348,305,61,,,,27,,305,0.07631,0.14391
30,2020-04-02,4669,672,46010,50679,,,,2822,,,,,468,4179,4646,0.09213,0.11188,0.18824,351,46,,,,31,,351,0.07518,0.14385
31,2020-04-03,5330,661,50434,55764,,,,5085,,,,,524,4585,5291,0.09558,0.11437,0.18144,430,79,,,,39,,428,0.08068,0.15169
32,2020-04-04,6110,780,57641,63751,,,,7987,,,,,580,5499,6059,0.09584,0.10543,0.16868,460,30,,,,40,,457,0.07529,0.14435
33,2020-04-05,6812,702,64126,70938,,,,7187,,,,,609,6494,6756,0.09603,0.09372,0.15057,484,24,,,,41,,479,0.07105,0.13457
34,2020-04-06,7276,464,78081,85357,,,,14419,1153,,,,628,7068,7219,0.08524,0.08891,0.14173,502,18,,,,42,,496,0.06899,0.1357
35,2020-04-07,8262,986,80387,88649,,,,3292,1252,,,,714,6522,8198,0.0932,0.10942,0.14178,554,52,,,,44,,537,0.06705,0.12428
36,2020-04-08,9353,1091,86905,96258,,,,7609,1491,,,,765,6914,9270,0.09717,0.11066,0.12913,597,43,,,,42,,574,0.06383,0.1007
37,2020-04-09,10230,877,95904,106134,,,,9876,1439,,,,794,7922,10087,0.09639,0.10028,0.11857,642,45,,,,42,,601,0.06276,0.09009
38,2020-04-10,11671,1441,104247,115918,,,,9784,1532,,,,906,8593,11477,0.10068,0.10541,0.11847,690,48,,,,37,,632,0.05912,0.06989
39,2020-04-11,12561,890,107972,120533,,,,4615,1514,,,,922,8112,12257,0.10421,0.11361,0.10844,744,54,,,,41,,671,0.05923,0.0711
40,2020-04-12,13484,923,111069,124553,,,,4020,1338,,,,953,7659,13150,0.10826,0.12444,0.10246,774,30,,,,41,,683,0.0574,0.06937
41,2020-04-13,13906,422,119320,133226,,,,8673,1176,,,,947,6838,13554,0.10438,0.1385,0.09695,856,82,,,,51,,756,0.06156,0.07922
42,2020-04-14,14624,718,131843,146467,,,,13241,1409,,,,909,8260,14214,0.09985,0.11003,0.08499,900,44,,,,49,,787,0.06154,0.07178
43,2020-04-15,15492,868,136318,151810,,,,5343,1538,,,,877,7936,14518,0.10205,0.11051,0.07475,977,77,,,,54,,858,0.06306,0.0729
44,2020-04-16,16455,963,142092,158547,,,,6737,1459,,,,889,7488,15059,0.10379,0.11877,0.07026,1029,52,,,,55,,892,0.06253,0.06972
45,2020-04-17,17371,916,152165,169536,,,,10989,1522,,,,814,7660,15712,0.10246,0.10631,0.05846,1074,45,,,,55,,914,0.06183,0.06525
46,2020-04-18,18260,889,157979,176239,,,,6703,1321,,,,814,7958,16208,0.10361,0.1023,0.0549,1092,18,,,,50,,913,0.0598,0.05635
47,2020-04-19,18923,663,163787,182710,,,,6471,1471,,,,777,8308,16371,0.10357,0.09352,0.0496,1108,16,,,,48,,908,0.05855,0.05258
48,2020-04-20,19458,535,170936,190394,,,,7684,1411,,,,793,8167,16581,0.1022,0.09712,0.04916,1174,66,,,,45,,968,0.06034,0.04616
49,2020-04-21,20196,738,185203,205399,,,,15005,1419,,,,796,8419,16930,0.09833,0.09455,0.0472,1233,59,,,,48,,989,0.06105,0.046
50,2020-04-22,21069,873,195714,216783,,,,11384,1678,,,,797,9282,17072,0.09719,0.08584,0.0449,1263,30,,,,41,,958,0.05995,0.03736
51,2020-04-23,21944,875,203134,225078,,,,8295,1649,,,,784,9504,17275,0.0975,0.0825,0.04198,1312,49,,,,40,,961,0.05979,0.03532
52,2020-04-24,22806,862,219741,242547,,,,17469,1674,,,,776,10430,17476,0.09403,0.07444,0.03965,1379,67,,,,44,,949,0.06047,0.03636
53,2020-04-25,23773,967,239043,262816,,,,20269,1597,,,,788,12368,17663,0.09045,0.06368,0.03841,1396,17,,,,43,,936,0.05872,0.03571
54,2020-04-26,24631,858,251390,276021,,,,13205,1542,,,,815,13330,17819,0.08924,0.06117,0.03838,1412,16,,,,43,,928,0.05733,0.03524
55,2020-04-27,25297,666,265220,290517,,,,14496,1563,,,,834,14303,18021,0.08708,0.05832,0.0382,1464,52,71,,,41,,962,0.05787,0.03204
56,2020-04-28,26171,874,274213,300384,,,,9867,1682,,,,854,13569,17909,0.08713,0.0629,0.03772,1539,75,77,,,44,,985,0.05881,0.03218
57,2020-04-29,27054,883,287736,314790,,,,14406,1702,,,,855,14001,17701,0.08594,0.06107,0.03636,1591,52,82,,,47,,994,0.05881,0.03353
58,2020-04-30,28087,1033,302213,330300,,,,15510,1686,,,,878,15032,17857,0.08503,0.05838,0.03589,1654,63,89,,,49,,1012,0.05889,0.03365
59,2020-05-01,29229,1142,322546,351775,,,,21475,1778,,,,918,15604,17558,0.08309,0.0588,0.03608,1683,29,83,,,43,,993,0.05758,0.02887
60,2020-05-02,30522,1293,350126,380648,,,,28873,1725,,,,964,16833,17961,0.08018,0.05728,0.03634,1714,31,83,,,45,,970,0.05616,0.02975
61,2020-05-03,31548,1026,359012,390560,,,,9912,1540,,,,988,16363,18064,0.08078,0.06039,0.03599,1756,42,84,,,49,,982,0.05566,0.03164
62,2020-05-04,32332,784,375066,407398,,,,16838,1533,,,,1005,16697,18426,0.07936,0.06019,0.03567,1816,60,85,,,50,,960,0.05617,0.03126
63,2020-05-05,33369,1037,393841,427210,,,,19812,1888,,,,1028,18118,18745,0.07811,0.05675,0.03532,1876,60,88,,,48,,976,0.05622,0.02869
64,2020-05-06,34422,1053,404516,438938,,,,11728,1812,,,,1053,17735,18930,0.07842,0.05935,0.03501,1946,70,94,617,,51,,969,0.05653,0.02919
65,2020-05-07,35390,968,419772,455162,,,,16224,1750,18440,,,1043,17837,18935,0.05966,0.05849,0.03357,2002,56,91,659,,50,,973,0.05657,0.02765
66,2020-05-08,36609,1219,440509,477118,,,,21956,1734,16408,,,1054,17906,19238,0.05552,0.05888,0.03268,2071,69,92,678,,55,,997,0.05657,0.03008
67,2020-05-09,37860,1251,451434,489294,,,,12176,1735,20141,,,1048,15521,19600,0.10274,0.06754,0.03126,2095,24,86,693,,54,,1003,0.05534,0.02909
68,2020-05-10,38869,1009,462907,501776,,,,12482,1626,21022,,,1046,15888,19946,0.08084,0.06583,0.03026,2127,32,91,713,,53,,1019,0.05472,0.02776
69,2020-05-11,39869,1000,485828,525697,,,,23921,1525,21713,,,1077,16900,20411,0.0418,0.06371,0.03039,2171,44,87,720,,51,,997,0.05445,0.02584
